formula,Elements,Metal_NonMetal,Electronegativity,Num_Elements,Atomic_Composition,Is_Metal
FeNiWCl2Ag2,"['Fe', 'Ni', 'W', 'Cl', 'Ag']","['Fe - Metal', 'Ni - Metal', 'W - Metal', 'Cl - Non-Metal', 'Ag - Metal']","[1.83, 1.91, 2.36, 3.16, 1.93]",5,"{'Fe': 1.0, 'Ni': 1.0, 'W': 1.0, 'Cl': 2.0, 'Ag': 2.0}",FALSE
KrOsTe2,"['Kr', 'Os', 'Te']","['Kr - Non-Metal', 'Os - Metal', 'Te - Non-Metal']","[3.0, 2.2, 2.1]",3,"{'Kr': 1.0, 'Os': 1.0, 'Te': 2.0}",FALSE
ScCl3,"['Sc', 'Cl']","['Sc - Metal', 'Cl - Non-Metal']","[1.36, 3.16]",2,"{'Sc': 1.0, 'Cl': 3.0}",FALSE
MgGdBe2Re2Br3,"['Mg', 'Gd', 'Be', 'Re', 'Br']","['Mg - Metal', 'Gd - Metal', 'Be - Metal', 'Re - Metal', 'Br - Non-Metal']","[1.31, 1.2, 1.57, 1.9, 2.96]",5,"{'Mg': 1.0, 'Gd': 1.0, 'Be': 2.0, 'Re': 2.0, 'Br': 3.0}",TRUE
ThBr2P7,"['Th', 'Br', 'P']","['Th - Metal', 'Br - Non-Metal', 'P - Non-Metal']","[1.3, 2.96, 2.19]",3,"{'Th': 1.0, 'Br': 2.0, 'P': 7.0}",FALSE
TeAu6,"['Te', 'Au']","['Te - Non-Metal', 'Au - Metal']","[2.1, 2.54]",2,"{'Te': 1.0, 'Au': 6.0}",FALSE
NW3,"['N', 'W']","['N - Non-Metal', 'W - Metal']","[3.04, 2.36]",2,"{'N': 1.0, 'W': 3.0}",FALSE
TePt2,"['Te', 'Pt']","['Te - Non-Metal', 'Pt - Metal']","[2.1, 2.28]",2,"{'Te': 1.0, 'Pt': 2.0}",FALSE
ClInRe3Mo4C5,"['Cl', 'In', 'Re', 'Mo', 'C']","['Cl - Non-Metal', 'In - Metal', 'Re - Metal', 'Mo - Metal', 'C - Non-Metal']","[3.16, 1.78, 1.9, 2.16, 2.55]",5,"{'Cl': 1.0, 'In': 1.0, 'Re': 3.0, 'Mo': 4.0, 'C': 5.0}",FALSE
Fe2Re3At3,"['Fe', 'Re', 'At']","['Fe - Metal', 'Re - Metal', 'At - Non-Metal']","[1.83, 1.9, 2.2]",3,"{'Fe': 2.0, 'Re': 3.0, 'At': 3.0}",TRUE
Os2C3,"['Os', 'C']","['Os - Metal', 'C - Non-Metal']","[2.2, 2.55]",2,"{'Os': 2.0, 'C': 3.0}",FALSE
DyMn2As2P4,"['Dy', 'Mn', 'As', 'P']","['Dy - Metal', 'Mn - Metal', 'As - Non-Metal', 'P - Non-Metal']","[1.22, 1.55, 2.18, 2.19]",4,"{'Dy': 1.0, 'Mn': 2.0, 'As': 2.0, 'P': 4.0}",TRUE
TaRnC2Ge7,"['Ta', 'Rn', 'C', 'Ge']","['Ta - Metal', 'Rn - Non-Metal', 'C - Non-Metal', 'Ge - Non-Metal']","[1.5, 2.2, 2.55, 2.01]",4,"{'Ta': 1.0, 'Rn': 1.0, 'C': 2.0, 'Ge': 7.0}",TRUE
AmP3,"['Am', 'P']","['Am - Metal', 'P - Non-Metal']","[1.3, 2.19]",2,"{'Am': 1.0, 'P': 3.0}",TRUE
SRe3,"['S', 'Re']","['S - Non-Metal', 'Re - Metal']","[2.58, 1.9]",2,"{'S': 1.0, 'Re': 3.0}",FALSE
FLu2Mn5,"['F', 'Lu', 'Mn']","['F - Non-Metal', 'Lu - Metal', 'Mn - Metal']","[3.98, 1.27, 1.55]",3,"{'F': 1.0, 'Lu': 2.0, 'Mn': 5.0}",FALSE
P2Cd2Se3,"['P', 'Cd', 'Se']","['P - Non-Metal', 'Cd - Metal', 'Se - Non-Metal']","[2.19, 1.69, 2.55]",3,"{'P': 2.0, 'Cd': 2.0, 'Se': 3.0}",FALSE
PaTe2,"['Pa', 'Te']","['Pa - Metal', 'Te - Non-Metal']","[1.5, 2.1]",2,"{'Pa': 1.0, 'Te': 2.0}",TRUE
PtSi2,"['Pt', 'Si']","['Pt - Metal', 'Si - Non-Metal']","[2.28, 1.9]",2,"{'Pt': 1.0, 'Si': 2.0}",TRUE
OAs2Ti5,"['O', 'As', 'Ti']","['O - Non-Metal', 'As - Non-Metal', 'Ti - Metal']","[3.44, 2.18, 1.54]",3,"{'O': 1.0, 'As': 2.0, 'Ti': 5.0}",FALSE
SmSe3Ru3,"['Sm', 'Se', 'Ru']","['Sm - Metal', 'Se - Non-Metal', 'Ru - Metal']","[1.17, 2.55, 2.2]",3,"{'Sm': 1.0, 'Se': 3.0, 'Ru': 3.0}",TRUE
WP4,"['W', 'P']","['W - Metal', 'P - Non-Metal']","[2.36, 2.19]",2,"{'W': 1.0, 'P': 4.0}",FALSE
AmAt2Ir6,"['Am', 'At', 'Ir']","['Am - Metal', 'At - Non-Metal', 'Ir - Metal']","[1.3, 2.2, 2.2]",3,"{'Am': 1.0, 'At': 2.0, 'Ir': 6.0}",TRUE
FeK2At4,"['Fe', 'K', 'At']","['Fe - Metal', 'K - Metal', 'At - Non-Metal']","[1.83, 0.82, 2.2]",3,"{'Fe': 1.0, 'K': 2.0, 'At': 4.0}",TRUE
KrB2Tl4,"['Kr', 'B', 'Tl']","['Kr - Non-Metal', 'B - Non-Metal', 'Tl - Metal']","[3.0, 2.04, 1.62]",3,"{'Kr': 1.0, 'B': 2.0, 'Tl': 4.0}",FALSE
AtV7,"['At', 'V']","['At - Non-Metal', 'V - Metal']","[2.2, 1.63]",2,"{'At': 1.0, 'V': 7.0}",TRUE
S2Ge3Te4,"['S', 'Ge', 'Te']","['S - Non-Metal', 'Ge - Non-Metal', 'Te - Non-Metal']","[2.58, 2.01, 2.1]",3,"{'S': 2.0, 'Ge': 3.0, 'Te': 4.0}",FALSE
BeMnGd2Co4Br4,"['Be', 'Mn', 'Gd', 'Co', 'Br']","['Be - Metal', 'Mn - Metal', 'Gd - Metal', 'Co - Metal', 'Br - Non-Metal']","[1.57, 1.55, 1.2, 1.88, 2.96]",5,"{'Be': 1.0, 'Mn': 1.0, 'Gd': 2.0, 'Co': 4.0, 'Br': 4.0}",TRUE
PWBi,"['P', 'W', 'Bi']","['P - Non-Metal', 'W - Metal', 'Bi - Metal']","[2.19, 2.36, 2.02]",3,"{'P': 1.0, 'W': 1.0, 'Bi': 1.0}",FALSE
Cl2Pt7,"['Cl', 'Pt']","['Cl - Non-Metal', 'Pt - Metal']","[3.16, 2.28]",2,"{'Cl': 2.0, 'Pt': 7.0}",FALSE
S2Pu3Si4,"['S', 'Pu', 'Si']","['S - Non-Metal', 'Pu - Metal', 'Si - Non-Metal']","[2.58, 1.28, 1.9]",3,"{'S': 2.0, 'Pu': 3.0, 'Si': 4.0}",TRUE
GaCo2Pb3S4,"['Ga', 'Co', 'Pb', 'S']","['Ga - Metal', 'Co - Metal', 'Pb - Metal', 'S - Non-Metal']","[1.81, 1.88, 2.33, 2.58]",4,"{'Ga': 1.0, 'Co': 2.0, 'Pb': 3.0, 'S': 4.0}",FALSE
AsCo2,"['As', 'Co']","['As - Non-Metal', 'Co - Metal']","[2.18, 1.88]",2,"{'As': 1.0, 'Co': 2.0}",TRUE
AsAt3,"['As', 'At']","['As - Non-Metal', 'At - Non-Metal']","[2.18, 2.2]",2,"{'As': 1.0, 'At': 3.0}",FALSE
PtSe3Tb4,"['Pt', 'Se', 'Tb']","['Pt - Metal', 'Se - Non-Metal', 'Tb - Metal']","[2.28, 2.55, 1.1]",3,"{'Pt': 1.0, 'Se': 3.0, 'Tb': 4.0}",TRUE
AmC3,"['Am', 'C']","['Am - Metal', 'C - Non-Metal']","[1.3, 2.55]",2,"{'Am': 1.0, 'C': 3.0}",TRUE
FeN4,"['Fe', 'N']","['Fe - Metal', 'N - Non-Metal']","[1.83, 3.04]",2,"{'Fe': 1.0, 'N': 4.0}",FALSE
BiN5,"['Bi', 'N']","['Bi - Metal', 'N - Non-Metal']","[2.02, 3.04]",2,"{'Bi': 1.0, 'N': 5.0}",FALSE
PoMo5,"['Po', 'Mo']","['Po - Non-Metal', 'Mo - Metal']","[2.0, 2.16]",2,"{'Po': 1.0, 'Mo': 5.0}",TRUE
SbGdMg3I3,"['Sb', 'Gd', 'Mg', 'I']","['Sb - Non-Metal', 'Gd - Metal', 'Mg - Metal', 'I - Non-Metal']","[2.05, 1.2, 1.31, 2.66]",4,"{'Sb': 1.0, 'Gd': 1.0, 'Mg': 3.0, 'I': 3.0}",TRUE
SmBr3Ru4,"['Sm', 'Br', 'Ru']","['Sm - Metal', 'Br - Non-Metal', 'Ru - Metal']","[1.17, 2.96, 2.2]",3,"{'Sm': 1.0, 'Br': 3.0, 'Ru': 4.0}",FALSE
TeOs3,"['Te', 'Os']","['Te - Non-Metal', 'Os - Metal']","[2.1, 2.2]",2,"{'Te': 1.0, 'Os': 3.0}",FALSE
ZrRnFe3Tb3,"['Zr', 'Rn', 'Fe', 'Tb']","['Zr - Metal', 'Rn - Non-Metal', 'Fe - Metal', 'Tb - Metal']","[1.33, 2.2, 1.83, 1.1]",4,"{'Zr': 1.0, 'Rn': 1.0, 'Fe': 3.0, 'Tb': 3.0}",TRUE
FKrNb,"['F', 'Kr', 'Nb']","['F - Non-Metal', 'Kr - Non-Metal', 'Nb - Metal']","[3.98, 3.0, 1.6]",3,"{'F': 1.0, 'Kr': 1.0, 'Nb': 1.0}",FALSE
Po4Ge5,"['Po', 'Ge']","['Po - Non-Metal', 'Ge - Non-Metal']","[2.0, 2.01]",2,"{'Po': 4.0, 'Ge': 5.0}",TRUE
AsO2,"['As', 'O']","['As - Non-Metal', 'O - Non-Metal']","[2.18, 3.44]",2,"{'As': 1.0, 'O': 2.0}",FALSE
SbTm,"['Sb', 'Tm']","['Sb - Non-Metal', 'Tm - Metal']","[2.05, 1.25]",2,"{'Sb': 1.0, 'Tm': 1.0}",TRUE
KrMdBr2Pt3Tl4,"['Kr', 'Md', 'Br', 'Pt', 'Tl']","['Kr - Non-Metal', 'Md - Metal', 'Br - Non-Metal', 'Pt - Metal', 'Tl - Metal']","[3.0, 1.3, 2.96, 2.28, 1.62]",5,"{'Kr': 1.0, 'Md': 1.0, 'Br': 2.0, 'Pt': 3.0, 'Tl': 4.0}",FALSE
SeGe6,"['Se', 'Ge']","['Se - Non-Metal', 'Ge - Non-Metal']","[2.55, 2.01]",2,"{'Se': 1.0, 'Ge': 6.0}",FALSE
TcP2Al5,"['Tc', 'P', 'Al']","['Tc - Metal', 'P - Non-Metal', 'Al - Metal']","[1.9, 2.19, 1.61]",3,"{'Tc': 1.0, 'P': 2.0, 'Al': 5.0}",TRUE
IMo7,"['I', 'Mo']","['I - Non-Metal', 'Mo - Metal']","[2.66, 2.16]",2,"{'I': 1.0, 'Mo': 7.0}",FALSE
XeP3Ni4,"['Xe', 'P', 'Ni']","['Xe - Non-Metal', 'P - Non-Metal', 'Ni - Metal']","[2.6, 2.19, 1.91]",3,"{'Xe': 1.0, 'P': 3.0, 'Ni': 4.0}",FALSE
Cl2Pd2Ru7,"['Cl', 'Pd', 'Ru']","['Cl - Non-Metal', 'Pd - Metal', 'Ru - Metal']","[3.16, 2.2, 2.2]",3,"{'Cl': 2.0, 'Pd': 2.0, 'Ru': 7.0}",FALSE
PoCl6,"['Po', 'Cl']","['Po - Non-Metal', 'Cl - Non-Metal']","[2.0, 3.16]",2,"{'Po': 1.0, 'Cl': 6.0}",FALSE
AsC2Bi6,"['As', 'C', 'Bi']","['As - Non-Metal', 'C - Non-Metal', 'Bi - Metal']","[2.18, 2.55, 2.02]",3,"{'As': 1.0, 'C': 2.0, 'Bi': 6.0}",FALSE
Ni2Ge3,"['Ni', 'Ge']","['Ni - Metal', 'Ge - Non-Metal']","[1.91, 2.01]",2,"{'Ni': 2.0, 'Ge': 3.0}",TRUE
YC3As4,"['Y', 'C', 'As']","['Y - Metal', 'C - Non-Metal', 'As - Non-Metal']","[1.22, 2.55, 2.18]",3,"{'Y': 1.0, 'C': 3.0, 'As': 4.0}",TRUE
FPt,"['F', 'Pt']","['F - Non-Metal', 'Pt - Metal']","[3.98, 2.28]",2,"{'F': 1.0, 'Pt': 1.0}",FALSE
SrI3Nb5,"['Sr', 'I', 'Nb']","['Sr - Metal', 'I - Non-Metal', 'Nb - Metal']","[0.95, 2.66, 1.6]",3,"{'Sr': 1.0, 'I': 3.0, 'Nb': 5.0}",TRUE
CoSeTe4,"['Co', 'Se', 'Te']","['Co - Metal', 'Se - Non-Metal', 'Te - Non-Metal']","[1.88, 2.55, 2.1]",3,"{'Co': 1.0, 'Se': 1.0, 'Te': 4.0}",FALSE
IrGe2,"['Ir', 'Ge']","['Ir - Metal', 'Ge - Non-Metal']","[2.2, 2.01]",2,"{'Ir': 1.0, 'Ge': 2.0}",FALSE
AlFeI6,"['Al', 'Fe', 'I']","['Al - Metal', 'Fe - Metal', 'I - Non-Metal']","[1.61, 1.83, 2.66]",3,"{'Al': 1.0, 'Fe': 1.0, 'I': 6.0}",TRUE
CI2P3Ho5,"['C', 'I', 'P', 'Ho']","['C - Non-Metal', 'I - Non-Metal', 'P - Non-Metal', 'Ho - Metal']","[2.55, 2.66, 2.19, 1.23]",4,"{'C': 1.0, 'I': 2.0, 'P': 3.0, 'Ho': 5.0}",FALSE
Mn2S4Re5,"['Mn', 'S', 'Re']","['Mn - Metal', 'S - Non-Metal', 'Re - Metal']","[1.55, 2.58, 1.9]",3,"{'Mn': 2.0, 'S': 4.0, 'Re': 5.0}",TRUE
CeTl3,"['Ce', 'Tl']","['Ce - Metal', 'Tl - Metal']","[1.12, 1.62]",2,"{'Ce': 1.0, 'Tl': 3.0}",TRUE
Al2Xe3Mo8,"['Al', 'Xe', 'Mo']","['Al - Metal', 'Xe - Non-Metal', 'Mo - Metal']","[1.61, 2.6, 2.16]",3,"{'Al': 2.0, 'Xe': 3.0, 'Mo': 8.0}",FALSE
XeRe4,"['Xe', 'Re']","['Xe - Non-Metal', 'Re - Metal']","[2.6, 1.9]",2,"{'Xe': 1.0, 'Re': 4.0}",FALSE
PoFe5,"['Po', 'Fe']","['Po - Non-Metal', 'Fe - Metal']","[2.0, 1.83]",2,"{'Po': 1.0, 'Fe': 5.0}",TRUE
PoSn3Gd3,"['Po', 'Sn', 'Gd']","['Po - Non-Metal', 'Sn - Metal', 'Gd - Metal']","[2.0, 1.96, 1.2]",3,"{'Po': 1.0, 'Sn': 3.0, 'Gd': 3.0}",TRUE
BeGaGeI4,"['Be', 'Ga', 'Ge', 'I']","['Be - Metal', 'Ga - Metal', 'Ge - Non-Metal', 'I - Non-Metal']","[1.57, 1.81, 2.01, 2.66]",4,"{'Be': 1.0, 'Ga': 1.0, 'Ge': 1.0, 'I': 4.0}",TRUE
GdBk2S4Ir6,"['Gd', 'Bk', 'S', 'Ir']","['Gd - Metal', 'Bk - Metal', 'S - Non-Metal', 'Ir - Metal']","[1.2, 1.3, 2.58, 2.2]",4,"{'Gd': 1.0, 'Bk': 2.0, 'S': 4.0, 'Ir': 6.0}",TRUE
NaSSr2Br4Ta6,"['Na', 'S', 'Sr', 'Br', 'Ta']","['Na - Metal', 'S - Non-Metal', 'Sr - Metal', 'Br - Non-Metal', 'Ta - Metal']","[0.93, 2.58, 0.95, 2.96, 1.5]",5,"{'Na': 1.0, 'S': 1.0, 'Sr': 2.0, 'Br': 4.0, 'Ta': 6.0}",TRUE
ZnMg3Te4,"['Zn', 'Mg', 'Te']","['Zn - Metal', 'Mg - Metal', 'Te - Non-Metal']","[1.65, 1.31, 2.1]",3,"{'Zn': 1.0, 'Mg': 3.0, 'Te': 4.0}",TRUE
Na2S2Po5,"['Na', 'S', 'Po']","['Na - Metal', 'S - Non-Metal', 'Po - Non-Metal']","[0.93, 2.58, 2.0]",3,"{'Na': 2.0, 'S': 2.0, 'Po': 5.0}",TRUE
Zn2Ru3Te4,"['Zn', 'Ru', 'Te']","['Zn - Metal', 'Ru - Metal', 'Te - Non-Metal']","[1.65, 2.2, 2.1]",3,"{'Zn': 2.0, 'Ru': 3.0, 'Te': 4.0}",TRUE
OVCm2C5,"['O', 'V', 'Cm', 'C']","['O - Non-Metal', 'V - Metal', 'Cm - Metal', 'C - Non-Metal']","[3.44, 1.63, 1.3, 2.55]",4,"{'O': 1.0, 'V': 1.0, 'Cm': 2.0, 'C': 5.0}",FALSE
WP2,"['W', 'P']","['W - Metal', 'P - Non-Metal']","[2.36, 2.19]",2,"{'W': 1.0, 'P': 2.0}",FALSE
RuAgBr2,"['Ru', 'Ag', 'Br']","['Ru - Metal', 'Ag - Metal', 'Br - Non-Metal']","[2.2, 1.93, 2.96]",3,"{'Ru': 1.0, 'Ag': 1.0, 'Br': 2.0}",FALSE
Rh2Pu3Po5,"['Rh', 'Pu', 'Po']","['Rh - Metal', 'Pu - Metal', 'Po - Non-Metal']","[2.28, 1.28, 2.0]",3,"{'Rh': 2.0, 'Pu': 3.0, 'Po': 5.0}",TRUE
FTiFmRu2Sn2,"['F', 'Ti', 'Fm', 'Ru', 'Sn']","['F - Non-Metal', 'Ti - Metal', 'Fm - Metal', 'Ru - Metal', 'Sn - Metal']","[3.98, 1.54, 1.3, 2.2, 1.96]",5,"{'F': 1.0, 'Ti': 1.0, 'Fm': 1.0, 'Ru': 2.0, 'Sn': 2.0}",FALSE
HoI2Hf2C4,"['Ho', 'I', 'Hf', 'C']","['Ho - Metal', 'I - Non-Metal', 'Hf - Metal', 'C - Non-Metal']","[1.23, 2.66, 1.3, 2.55]",4,"{'Ho': 1.0, 'I': 2.0, 'Hf': 2.0, 'C': 4.0}",TRUE
NpZr2At5,"['Np', 'Zr', 'At']","['Np - Metal', 'Zr - Metal', 'At - Non-Metal']","[1.36, 1.33, 2.2]",3,"{'Np': 1.0, 'Zr': 2.0, 'At': 5.0}",TRUE
EuNa2Br2Se6,"['Eu', 'Na', 'Br', 'Se']","['Eu - Metal', 'Na - Metal', 'Br - Non-Metal', 'Se - Non-Metal']","[1.2, 0.93, 2.96, 2.55]",4,"{'Eu': 1.0, 'Na': 2.0, 'Br': 2.0, 'Se': 6.0}",TRUE
IrMn5Br5,"['Ir', 'Mn', 'Br']","['Ir - Metal', 'Mn - Metal', 'Br - Non-Metal']","[2.2, 1.55, 2.96]",3,"{'Ir': 1.0, 'Mn': 5.0, 'Br': 5.0}",FALSE
GdLa2Br6,"['Gd', 'La', 'Br']","['Gd - Metal', 'La - Metal', 'Br - Non-Metal']","[1.2, 1.1, 2.96]",3,"{'Gd': 1.0, 'La': 2.0, 'Br': 6.0}",TRUE
BiS2Pt3,"['Bi', 'S', 'Pt']","['Bi - Metal', 'S - Non-Metal', 'Pt - Metal']","[2.02, 2.58, 2.28]",3,"{'Bi': 1.0, 'S': 2.0, 'Pt': 3.0}",FALSE
GaBrPuH4,"['Ga', 'Br', 'Pu', 'H']","['Ga - Metal', 'Br - Non-Metal', 'Pu - Metal', 'H - Unknown']","[1.81, 2.96, 1.28, 2.2]",4,"{'Ga': 1.0, 'Br': 1.0, 'Pu': 1.0, 'H': 4.0}",TRUE
YbMn2S4,"['Yb', 'Mn', 'S']","['Yb - Metal', 'Mn - Metal', 'S - Non-Metal']","[1.1, 1.55, 2.58]",3,"{'Yb': 1.0, 'Mn': 2.0, 'S': 4.0}",TRUE
SeCo3Ru6,"['Se', 'Co', 'Ru']","['Se - Non-Metal', 'Co - Metal', 'Ru - Metal']","[2.55, 1.88, 2.2]",3,"{'Se': 1.0, 'Co': 3.0, 'Ru': 6.0}",FALSE
TiILaAm2P5,"['Ti', 'I', 'La', 'Am', 'P']","['Ti - Metal', 'I - Non-Metal', 'La - Metal', 'Am - Metal', 'P - Non-Metal']","[1.54, 2.66, 1.1, 1.3, 2.19]",5,"{'Ti': 1.0, 'I': 1.0, 'La': 1.0, 'Am': 2.0, 'P': 5.0}",TRUE
OsCl4,"['Os', 'Cl']","['Os - Metal', 'Cl - Non-Metal']","[2.2, 3.16]",2,"{'Os': 1.0, 'Cl': 4.0}",FALSE
ReI2Fe3As4,"['Re', 'I', 'Fe', 'As']","['Re - Metal', 'I - Non-Metal', 'Fe - Metal', 'As - Non-Metal']","[1.9, 2.66, 1.83, 2.18]",4,"{'Re': 1.0, 'I': 2.0, 'Fe': 3.0, 'As': 4.0}",FALSE
Te2F3C5Co5,"['Te', 'F', 'C', 'Co']","['Te - Non-Metal', 'F - Non-Metal', 'C - Non-Metal', 'Co - Metal']","[2.1, 3.98, 2.55, 1.88]",4,"{'Te': 2.0, 'F': 3.0, 'C': 5.0, 'Co': 5.0}",FALSE
Ir2S3Ti4,"['Ir', 'S', 'Ti']","['Ir - Metal', 'S - Non-Metal', 'Ti - Metal']","[2.2, 2.58, 1.54]",3,"{'Ir': 2.0, 'S': 3.0, 'Ti': 4.0}",FALSE
Br3P4,"['Br', 'P']","['Br - Non-Metal', 'P - Non-Metal']","[2.96, 2.19]",2,"{'Br': 3.0, 'P': 4.0}",FALSE
CdTaCl3Mo4,"['Cd', 'Ta', 'Cl', 'Mo']","['Cd - Metal', 'Ta - Metal', 'Cl - Non-Metal', 'Mo - Metal']","[1.69, 1.5, 3.16, 2.16]",4,"{'Cd': 1.0, 'Ta': 1.0, 'Cl': 3.0, 'Mo': 4.0}",FALSE
At3Os4Cd5,"['At', 'Os', 'Cd']","['At - Non-Metal', 'Os - Metal', 'Cd - Metal']","[2.2, 2.2, 1.69]",3,"{'At': 3.0, 'Os': 4.0, 'Cd': 5.0}",TRUE
CoZr4Sb6,"['Co', 'Zr', 'Sb']","['Co - Metal', 'Zr - Metal', 'Sb - Non-Metal']","[1.88, 1.33, 2.05]",3,"{'Co': 1.0, 'Zr': 4.0, 'Sb': 6.0}",TRUE
NbCd3P5,"['Nb', 'Cd', 'P']","['Nb - Metal', 'Cd - Metal', 'P - Non-Metal']","[1.6, 1.69, 2.19]",3,"{'Nb': 1.0, 'Cd': 3.0, 'P': 5.0}",TRUE
BkSe2Mn8,"['Bk', 'Se', 'Mn']","['Bk - Metal', 'Se - Non-Metal', 'Mn - Metal']","[1.3, 2.55, 1.55]",3,"{'Bk': 1.0, 'Se': 2.0, 'Mn': 8.0}",TRUE
Mo2Er3Po6,"['Mo', 'Er', 'Po']","['Mo - Metal', 'Er - Metal', 'Po - Non-Metal']","[2.16, 1.24, 2.0]",3,"{'Mo': 2.0, 'Er': 3.0, 'Po': 6.0}",TRUE
VP5,"['V', 'P']","['V - Metal', 'P - Non-Metal']","[1.63, 2.19]",2,"{'V': 1.0, 'P': 5.0}",TRUE
F2Re3Fe4Cr5,"['F', 'Re', 'Fe', 'Cr']","['F - Non-Metal', 'Re - Metal', 'Fe - Metal', 'Cr - Metal']","[3.98, 1.9, 1.83, 1.66]",4,"{'F': 2.0, 'Re': 3.0, 'Fe': 4.0, 'Cr': 5.0}",FALSE
GdN2Ru2O3,"['Gd', 'N', 'Ru', 'O']","['Gd - Metal', 'N - Non-Metal', 'Ru - Metal', 'O - Non-Metal']","[1.2, 3.04, 2.2, 3.44]",4,"{'Gd': 1.0, 'N': 2.0, 'Ru': 2.0, 'O': 3.0}",FALSE
CaEs2Ti4At4,"['Ca', 'Es', 'Ti', 'At']","['Ca - Metal', 'Es - Metal', 'Ti - Metal', 'At - Non-Metal']","[1.0, 1.3, 1.54, 2.2]",4,"{'Ca': 1.0, 'Es': 2.0, 'Ti': 4.0, 'At': 4.0}",TRUE
NGaPt3,"['N', 'Ga', 'Pt']","['N - Non-Metal', 'Ga - Metal', 'Pt - Metal']","[3.04, 1.81, 2.28]",3,"{'N': 1.0, 'Ga': 1.0, 'Pt': 3.0}",FALSE
Rh2Lr2Ni3I3W5,"['Rh', 'Lr', 'Ni', 'I', 'W']","['Rh - Metal', 'Lr - Metal', 'Ni - Metal', 'I - Non-Metal', 'W - Metal']","[2.28, 1.3, 1.91, 2.66, 2.36]",5,"{'Rh': 2.0, 'Lr': 2.0, 'Ni': 3.0, 'I': 3.0, 'W': 5.0}",FALSE
BrV4,"['Br', 'V']","['Br - Non-Metal', 'V - Metal']","[2.96, 1.63]",2,"{'Br': 1.0, 'V': 4.0}",FALSE
ClOs3,"['Cl', 'Os']","['Cl - Non-Metal', 'Os - Metal']","[3.16, 2.2]",2,"{'Cl': 1.0, 'Os': 3.0}",FALSE
KBr3Tb4,"['K', 'Br', 'Tb']","['K - Metal', 'Br - Non-Metal', 'Tb - Metal']","[0.82, 2.96, 1.1]",3,"{'K': 1.0, 'Br': 3.0, 'Tb': 4.0}",TRUE
SVSeTb2,"['S', 'V', 'Se', 'Tb']","['S - Non-Metal', 'V - Metal', 'Se - Non-Metal', 'Tb - Metal']","[2.58, 1.63, 2.55, 1.1]",4,"{'S': 1.0, 'V': 1.0, 'Se': 1.0, 'Tb': 2.0}",TRUE
YS3,"['Y', 'S']","['Y - Metal', 'S - Non-Metal']","[1.22, 2.58]",2,"{'Y': 1.0, 'S': 3.0}",TRUE
YP2,"['Y', 'P']","['Y - Metal', 'P - Non-Metal']","[1.22, 2.19]",2,"{'Y': 1.0, 'P': 2.0}",TRUE
EsPo2,"['Es', 'Po']","['Es - Metal', 'Po - Non-Metal']","[1.3, 2.0]",2,"{'Es': 1.0, 'Po': 2.0}",TRUE
CoMoOs2Br3W7,"['Co', 'Mo', 'Os', 'Br', 'W']","['Co - Metal', 'Mo - Metal', 'Os - Metal', 'Br - Non-Metal', 'W - Metal']","[1.88, 2.16, 2.2, 2.96, 2.36]",5,"{'Co': 1.0, 'Mo': 1.0, 'Os': 2.0, 'Br': 3.0, 'W': 7.0}",FALSE
ICr5Sb6,"['I', 'Cr', 'Sb']","['I - Non-Metal', 'Cr - Metal', 'Sb - Non-Metal']","[2.66, 1.66, 2.05]",3,"{'I': 1.0, 'Cr': 5.0, 'Sb': 6.0}",FALSE
CCo,"['C', 'Co']","['C - Non-Metal', 'Co - Metal']","[2.55, 1.88]",2,"{'C': 1.0, 'Co': 1.0}",FALSE
V2Cr2Rn3Os6,"['V', 'Cr', 'Rn', 'Os']","['V - Metal', 'Cr - Metal', 'Rn - Non-Metal', 'Os - Metal']","[1.63, 1.66, 2.2, 2.2]",4,"{'V': 2.0, 'Cr': 2.0, 'Rn': 3.0, 'Os': 6.0}",TRUE
Tc2N3Si3,"['Tc', 'N', 'Si']","['Tc - Metal', 'N - Non-Metal', 'Si - Non-Metal']","[1.9, 3.04, 1.9]",3,"{'Tc': 2.0, 'N': 3.0, 'Si': 3.0}",FALSE
EsB2Br5,"['Es', 'B', 'Br']","['Es - Metal', 'B - Non-Metal', 'Br - Non-Metal']","[1.3, 2.04, 2.96]",3,"{'Es': 1.0, 'B': 2.0, 'Br': 5.0}",TRUE
XeCu3As4,"['Xe', 'Cu', 'As']","['Xe - Non-Metal', 'Cu - Metal', 'As - Non-Metal']","[2.6, 1.9, 2.18]",3,"{'Xe': 1.0, 'Cu': 3.0, 'As': 4.0}",FALSE
UNb3Te4Co5,"['U', 'Nb', 'Te', 'Co']","['U - Metal', 'Nb - Metal', 'Te - Non-Metal', 'Co - Metal']","[1.38, 1.6, 2.1, 1.88]",4,"{'U': 1.0, 'Nb': 3.0, 'Te': 4.0, 'Co': 5.0}",TRUE
FNb2I3,"['F', 'Nb', 'I']","['F - Non-Metal', 'Nb - Metal', 'I - Non-Metal']","[3.98, 1.6, 2.66]",3,"{'F': 1.0, 'Nb': 2.0, 'I': 3.0}",FALSE
TaPb,"['Ta', 'Pb']","['Ta - Metal', 'Pb - Metal']","[1.5, 2.33]",2,"{'Ta': 1.0, 'Pb': 1.0}",TRUE
